student_id,overdue_milestones,days_since_last_meeting,progress_deficit,late_completion
stu000,1,14,-0.1145,False
stu001,2,23,-0.0175,False
stu002,1,64,-0.0247,False
stu003,1,22,0.1554,True
stu004,2,23,0.2105,False
stu005,0,24,-0.0447,False
stu006,1,176,0.3818,True
stu007,3,43,-0.1469,False
stu008,0,15,0.2972,False
stu009,1,14,-0.1553,False
stu010,2,55,0.2104,True
stu011,1,9,-0.0134,False
stu012,2,65,-0.1282,False
stu013,2,94,0.1136,False
stu014,0,10,0.3445,True
stu015,1,19,-0.0261,False
stu016,2,52,0.2822,True
stu017,3,88,-0.0092,True
stu018,1,84,-0.1958,False
stu019,1,27,0.3657,False
stu020,1,17,0.3775,True
stu021,1,15,0.1657,False
stu022,0,51,-0.1131,False
stu023,3,62,-0.0574,False
stu024,1,90,-0.1458,False
stu025,1,106,0.1073,True
stu026,1,53,0.362,True
stu027,1,28,0.2903,False
stu028,1,29,0.3403,False
stu029,1,85,0.3323,True
stu030,2,43,-0.1391,False
stu031,0,42,0.1912,False
stu032,2,20,0.1898,False
stu033,2,18,-0.0409,False
stu034,3,66,0.2245,True
stu035,2,10,-0.0315,True
stu036,2,34,0.3782,False
stu037,1,73,-0.0983,False
stu038,3,57,0.169,False
stu039,1,74,0.2182,True
stu040,1,67,0.3202,False
stu041,1,91,0.2212,True
stu042,3,13,0.147,True
stu043,1,6,-0.1817,True
stu044,3,17,0.262,False
stu045,1,148,0.2357,True
stu046,1,73,0.0634,True
stu047,0,19,-0.1061,False
stu048,2,69,0.3554,True
stu049,1,11,0.0136,False
stu050,0,31,0.095,False
stu051,0,5,0.1811,True
stu052,1,38,0.1952,True
stu053,0,32,0.3641,False
stu054,1,22,0.3649,False
stu055,3,25,0.2824,True
stu056,2,22,0.1774,False
stu057,2,22,0.2504,False
stu058,3,6,0.0045,False
stu059,2,97,-0.1381,False
stu060,1,24,0.0335,True
stu061,3,30,0.3704,False
stu062,2,6,0.2035,False
stu063,2,21,0.0649,False
stu064,1,56,-0.1495,False
stu065,0,54,-0.1491,False
stu066,1,78,0.2325,False
stu067,1,98,0.0956,True
stu068,0,29,0.1895,False
stu069,1,96,0.2456,True
stu070,1,37,0.1139,False
stu071,2,70,0.3407,True
stu072,1,19,0.012,False
stu073,4,41,0.1217,False
stu074,0,23,0.2935,False
stu075,2,113,-0.1842,False
stu076,0,25,0.0285,False
stu077,1,82,0.3188,True
stu078,3,38,-0.0516,False
stu079,2,33,0.203,False
stu080,2,84,0.2634,True
stu081,1,39,0.0421,False
stu082,1,88,-0.1913,False
stu083,2,6,0.009,False
stu084,2,39,0.3697,False
stu085,3,35,-0.0027,False
stu086,0,58,-0.1089,False
stu087,1,17,0.0844,False
stu088,0,52,-0.0328,False
stu089,1,15,0.2142,False
stu090,3,43,-0.0339,False
stu091,0,62,0.0907,False
stu092,2,88,-0.0485,False
stu093,1,46,0.0684,False
stu094,1,43,-0.0068,False
stu095,3,14,0.2075,True
stu096,2,94,0.245,True
stu097,1,32,0.1425,False
stu098,1,54,-0.1036,False
stu099,3,18,0.1147,True
stu100,1,35,0.3193,False
stu101,2,62,0.1341,False
stu102,1,54,0.0553,False
stu103,2,38,0.1487,False
stu104,0,13,-0.1194,False
stu105,2,23,0.1574,False
stu106,2,19,0.379,False
stu107,1,23,0.2447,True
stu108,2,44,-0.1018,False
stu109,1,26,0.3263,False
stu110,1,27,-0.0192,False
stu111,3,104,0.1261,True
stu112,3,62,0.0009,False
stu113,2,27,0.2732,False
stu114,2,18,0.1419,False
stu115,2,47,0.3079,False
stu116,0,16,0.2046,False
stu117,1,87,0.0074,False
stu118,3,94,0.1517,True
stu119,3,40,0.1391,False
stu120,0,43,0.164,False
stu121,3,25,-0.1321,False
stu122,1,75,0.0011,False
stu123,2,7,0.0082,False
stu124,2,104,-0.0942,False
stu125,1,35,0.1794,True
stu126,3,14,0.1572,False
stu127,3,36,-0.0856,False
stu128,0,24,0.072,False
stu129,2,75,-0.0908,False
stu130,1,19,-0.1063,True
stu131,1,83,0.2031,True
stu132,1,52,-0.0541,False
stu133,1,50,-0.077,True
stu134,0,29,-0.1841,False
stu135,3,12,0.0051,False
stu136,1,10,0.0456,False
stu137,3,105,-0.0617,False
stu138,2,76,-0.1865,False
stu139,1,7,0.301,True
stu140,0,47,0.3486,True
stu141,1,16,0.2978,False
stu142,1,71,0.3486,True
stu143,0,12,0.2428,False
stu144,1,20,0.0134,False
stu145,1,74,0.3621,True
stu146,1,59,-0.1691,False
stu147,2,34,-0.1549,False
stu148,2,109,0.2317,True
stu149,1,70,-0.1451,False
stu150,1,56,0.2393,False
stu151,3,75,0.0937,True
stu152,2,43,-0.1796,False
stu153,3,74,0.0845,False
stu154,2,38,0.1578,True
stu155,2,29,0.2349,False
stu156,3,26,0.1755,False
stu157,0,67,-0.1102,False
stu158,2,81,0.0879,False
stu159,2,7,-0.0567,False
stu160,1,16,-0.1747,True
stu161,3,5,-0.069,False
stu162,2,32,0.3668,False
stu163,1,79,-0.0616,True
stu164,0,54,-0.1653,False
stu165,3,28,0.2176,False
stu166,3,21,0.1558,False
stu167,0,28,0.3332,False
stu168,3,54,-0.1478,False
stu169,1,67,-0.1514,False
stu170,2,18,0.0087,False
stu171,3,113,0.1951,False
stu172,2,52,0.2516,True
stu173,2,41,0.2908,True
stu174,1,84,0.3887,True
stu175,1,61,-0.1358,False
stu176,1,99,0.3592,True
stu177,2,42,0.1493,True
stu178,3,48,-0.1867,False
stu179,1,61,-0.0358,False
stu180,1,12,0.2162,False
stu181,0,77,0.3705,True
stu182,1,34,0.0386,False
stu183,3,67,-0.0721,True
stu184,1,69,0.2427,True
stu185,2,60,0.2566,True
stu186,0,82,-0.1296,True
stu187,2,11,-0.1615,False
stu188,1,22,-0.193,True
stu189,1,153,0.217,True
stu190,2,36,-0.0548,False
stu191,1,148,0.1358,True
stu192,1,18,-0.1801,False
stu193,1,42,0.2804,False
stu194,0,45,-0.181,False
stu195,0,111,0.2285,True
stu196,1,40,0.0714,False
stu197,1,28,-0.0517,False
stu198,3,15,0.1952,False
stu199,1,61,0.1902,True
stu200,0,15,0.0776,False
stu201,1,57,0.0226,False
stu202,2,73,0.3241,True
stu203,2,67,-0.0736,False
stu204,0,89,0.3454,False
stu205,1,21,0.0954,False
stu206,1,28,0.1558,False
stu207,1,14,-0.0049,False
stu208,1,47,-0.1559,False
stu209,3,12,-0.0508,False
stu210,1,65,0.2418,False
stu211,2,127,0.2611,True
stu212,0,32,0.3061,False
stu213,1,35,-0.111,False
stu214,2,47,0.2001,True
stu215,2,15,-0.1437,False
stu216,1,117,0.3029,True
stu217,2,48,0.1424,False
stu218,2,80,0.1907,False
stu219,0,20,0.0441,False
stu220,2,50,0.0425,False
stu221,2,12,0.0613,False
stu222,0,40,0.0199,False
stu223,1,18,0.024,False
stu224,1,72,0.318,True
stu225,1,141,0.0393,True
stu226,2,151,0.2309,True
stu227,2,45,0.3162,True
stu228,1,30,-0.0156,False
stu229,1,89,-0.0364,True
stu230,2,31,0.1151,False
stu231,1,46,0.0901,True
stu232,2,88,0.161,True
stu233,1,38,0.0466,False
stu234,1,21,0.0542,False
stu235,1,45,-0.0992,False
stu236,0,49,0.1852,False
stu237,1,136,0.0981,True
stu238,1,102,0.3948,True
stu239,0,101,0.3365,True
stu240,1,15,0.1114,False
stu241,2,8,-0.0054,False
stu242,1,13,0.2384,False
stu243,3,35,0.214,True
stu244,1,10,0.0085,False
stu245,0,56,-0.1086,False
stu246,2,41,0.2532,False
stu247,2,33,-0.0181,False
stu248,3,11,-0.0167,False
stu249,1,44,-0.0749,False
stu250,0,26,0.3208,False
stu251,2,25,-0.0959,False
stu252,1,38,-0.1205,False
stu253,3,153,-0.0951,True
stu254,1,28,-0.1845,False
stu255,4,52,-0.0129,False
stu256,1,45,0.1718,False
stu257,0,21,-0.1653,False
stu258,4,23,-0.018,False
stu259,2,37,0.2688,False
stu260,1,52,-0.1216,False
stu261,1,25,0.2965,False
stu262,2,36,-0.1885,False
stu263,2,40,-0.1927,False
stu264,3,16,0.0726,False
stu265,0,13,0.2424,False
stu266,1,18,0.3353,False
stu267,3,78,-0.0472,False
stu268,0,34,0.1956,False
stu269,2,22,-0.1099,False
stu270,1,31,0.2298,True
stu271,0,19,0.0098,False
stu272,2,26,0.1962,False
stu273,0,56,-0.0766,True
stu274,1,57,-0.1748,False
stu275,2,92,0.2871,True
stu276,1,54,0.0233,False
stu277,1,55,-0.1271,False
stu278,3,11,0.3168,False
stu279,2,65,0.2358,False
stu280,2,15,0.3908,False
stu281,0,34,0.2907,False
stu282,1,52,0.1542,False
stu283,1,111,0.1818,False
stu284,0,30,0.2359,False
stu285,0,84,0.1331,False
stu286,1,24,0.1325,True
stu287,2,10,-0.0166,False
stu288,3,19,0.3317,False
stu289,1,104,0.1718,True
stu290,2,42,0.1854,True
stu291,2,114,0.2059,True
stu292,1,37,-0.1649,False
stu293,3,69,0.0641,True
stu294,1,18,0.1589,False
stu295,3,42,0.1817,False
stu296,0,78,0.1431,False
stu297,0,10,-0.1855,False
stu298,0,42,0.0578,False
stu299,2,24,-0.1516,False
